,id,course_specific_id,gender,year_of_birth,level_of_education,Objectif_Atteint,Compet_acquises,Heures_Travail_Passees,Satis_Videos,Satis_Supports_Ecrits,Satis_Quizz,Satis_TD,Satis_TP,Satis_Exam,Satis_Temoignages_Pros,Satis_Forums,Satis_Ex_S0,Satis_Rythme,Recommand,Inscri_Proch_Sess,country,enrollment_time,certificate,unenroll
160,068d4cdaa774f5c530faccc776751b676a4aa053e850a2e1f693fdff50309663,7249ac426a41ad1cf85183adbbd24c6c,,None,,Oui,"routage approprie, configurer le routage",2h a 4h,4,3,4,4,3,3,3,2,5,5,Oui,Non,France,2015-10-18 12:14:52,True,True
161,f48f7980f719a60c2dac37de546a5b0c764a0a5f607bfd7bdd18d299bf9ca6cc,984508ef9489fa8130ee5be4342367df,,None,,Oui,Savoir analyser les proprietes d'un service et en deduire les besoins en termes de reseau,2h a 4h,4,4,4,4,4,4,4,4,4,4,Oui,Non,France,2015-10-18 17:31:48,True,True
162,00b185060f56d5bde7e1b0caafe6918088541f2b357693fcd9feebf451abebf5,880fee1f8f59b0a11a417b3c340b54d6,m,1970,hs,Oui,Savoir analyser les proprietes d'un service et en deduire les besoins en termes de reseau,5h a 8h,5,5,5,5,5,5,5,5,5,5,Oui,Oui,France,2015-12-21 02:22:34,True,True
163,efaec862230c47d6f278424e19f874a669e229c3b488fa7cbb358c7a293242cc,bd60455b944e132a0adf841a4927d64e,m,1977,b,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,4,4,3,4,4,3,4,4,4,4,Oui,Non,France,2015-10-24 10:48:09,True,True
164,79974619294476f86dfd4629aa0fc819eee1ce0ebff5984e6d56f98b18b2c977,6567afa6aa4dd92addd744d8069ea04d,f,1980,m,Non,Vide,Moins d'1h,4,2,4,1,1,1,3,4,3,1,Non,Non,Switzerland,2015-10-28 17:02:47,True,True
165,161d84bbfc240fede58d335253597518abcc5d106e0e3f2a82aa4c02581232a1,37e3fed2c0942229eda79d460d8b5ecd,m,1994,a,Partiellement,"Connaitre l'internet IP, TCP et UDP et leurs propretes",5h a 8h,4,4,4,4,4,4,3,1,2,4,Oui,Non,Algeria,2015-10-28 23:21:24,True,True
166,e4b6c2fb4ebc42a4bc0276236ec94220eb9d7bc02d92afb422ee9ac988d71820,cfbddc0e5f26c8b21226a33bd125d7d9,m,1996,jhs,Non,Vide,Moins d'1h,1,1,1,1,1,1,1,1,1,1,Non,Non,France,2015-10-29 12:42:39,True,True
167,02668e7cd1a85ee9ab1ce085f2c143817d35f4ceda2966c4c1992c93b803fdbe,b2ed3723feb0d0ae2f53969bf15519ec,m,1985,a,Partiellement,"Savoir lire et comprendre une norme de reseau de donnees, reseau de telecoms",5h a 8h,5,3,4,4,5,4,3,4,1,4,Oui,Non,France,2015-10-29 13:27:12,True,True
168,7d3dd689112712e0af18fa30c0dbffa0fc5e8aea9909cadfacf8cfe83d547079,84a5c47929655f9efcc910333c24350c,m,1978,b,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Moins d'1h,4,4,4,4,4,Vide,Vide,Vide,Vide,Vide,Oui,Oui,Cameroon,2015-11-02 11:28:21,True,True
169,64e770291b8add62b4472f2d5ee5747b7e4aa8741cf6d80af4ad77de1d233721,a01a273dcb872ca0f470f73ee858c908,m,1996,other,Partiellement,Savoir analyser les proprietes d'un service et en deduire les besoins en termes de reseau,5h a 8h,3,3,3,3,3,3,3,3,3,3,Oui,Non,France,2015-11-03 07:19:49,True,True
170,f0320fb35f23c21e87076e5880a95aa54b1dbc3293dc1a2d075da9d3763597cf,0b768b3e41b72e3eb0222b32a26a0c61,m,1968,m,Oui,Vide,2h a 4h,4,4,4,5,5,4,3,4,Vide,4,Oui,Non,France,2015-11-05 12:22:23,True,True
171,5abbb1873e08a6ece3db2b1ac256e2ee690c6c10d3781f428d3a76ec045c22f0,e215924ec0a4a44fb25daf5194c80b09,m,1991,b,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Moins d'1h,4,4,3,4,4,1,4,5,3,4,Oui,Oui,Mali,2015-11-24 17:47:09,True,True
172,edc4438fc2c045d91340c7930eb01e77261b60a8f64e5c17474a7650a34a273d,b3da6a57adb2ba3dea2a23ea9ca950de,m,1978,hs,Oui,"Connaitre l'internet IP, TCP et UDP et leurs propretes",2h a 4h,4,4,4,4,4,4,4,4,4,4,Oui,Oui,Congo (the Democratic Republic of the),2015-11-30 12:55:19,True,True
173,b06f5412654406abf759e89e3a7166c07b68d0eda7baa43ff8dd434337eae3c4,c625054a4d744f1f3fcc0505672a85e9,f,1960,m,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,5,4,4,4,3,4,4,3,3,4,Oui,Non,France,2015-12-12 13:53:56,True,True
174,28cf9a6010199b6c4e2dd21480d03635bb7c60b337401d23d72bf22e941f7442,2b3a9a535083d9a9113722c12072e064,m,1980,m,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,3,5,4,4,4,2,4,1,4,3,Oui,Oui,Burkina Faso,2015-12-16 19:13:44,True,True
175,d519b7356e9a3dc8d79bc9044f14a38226960af17f6a956cda5a4c8fac0a0918,8fd5b8721cda8748dadbd6107d826569,f,1989,p,Oui,"Connaitre l'internet IP, TCP et UDP et leurs propretes",Moins d'1h,5,5,5,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Oui,Vide,France,2015-12-19 18:04:12,True,True
176,3d8c16c1034abbe0fb539a825a5df816d985a048ef829ad67cab26c59d3f3503,6989c0508a964d46c4865a234b703556,m,1973,other,Partiellement,Savoir analyser les proprietes d'un service et en deduire les besoins en termes de reseau,2h a 4h,4,3,4,1,1,3,3,1,1,4,Oui,Oui,Senegal,2015-12-31 09:10:45,True,True
